commonname,lengthM,weight,age,sex,date,country,habitat,conservation
West African Slender-snouted Crocodile,0.26,44.6,Hatchling,Female,10-10-2021,Liberia,Swamps,Critically Endangered
Siamese Crocodile,2.97,179.8,Subadult,Male,19-06-2017,Vietnam,Slow Rivers,Critically Endangered
Cuban Crocodile,1.95,69.2,Juvenile,Female,30-12-2012,Cuba,Swamps,Critically Endangered
Morelet's Crocodile,0.79,32.4,Juvenile,Female,20-08-2017,Guatemala,Lagoons,Least Concern
Nile Crocodile,4.41,646.1,Adult,Female,01-08-2005,Tanzania,Rivers,Least Concern
Hall's New Guinea Crocodile,3.18,153.5,Subadult,Male,22-05-2012,Papua New Guinea,Rivers,Least Concern
Cuban Crocodile,2.89,150.2,Adult,Male,18-06-2005,Cuba,Freshwater Wetlands,Critically Endangered
West African Crocodile,2.77,133.6,Subadult,Unknown,15-07-2018,Mauritania,Lakes,Least Concern
Hall's New Guinea Crocodile,2.85,125.8,Adult,Unknown,07-03-2009,Papua New Guinea,Rivers,Least Concern
Saltwater Crocodile,4.71,695.5,Adult,Unknown,14-02-2019,Malaysia,Estuaries,Least Concern
West African Slender-snouted Crocodile,2.71,124.4,Adult,Male,25-09-2016,Côte d'Ivoire,Swamps,Critically Endangered
Congo Dwarf Crocodile,1.13,12.3,Subadult,Unknown,14-05-2005,Dem. Rep. Congo,Slow Streams,Data Deficient
Orinoco Crocodile,3.96,385.8,Subadult,Male,26-09-2009,Venezuela,Large Rivers,Critically Endangered
Morelet's Crocodile,2.35,87.5,Subadult,Unknown,02-07-2018,Guatemala,Rivers,Least Concern
Hall's New Guinea Crocodile,1.0,37.4,Juvenile,Unknown,22-03-2009,Papua New Guinea,Freshwater Wetlands,Least Concern
Cuban Crocodile,2.41,93.5,Subadult,Male,13-08-2007,Cuba,Freshwater Wetlands,Critically Endangered
Central African Slender-snouted Crocodile,2.41,106.9,Adult,Male,27-06-2012,Cameroon,Forest Rivers,Endangered
Borneo Crocodile (disputed),2.78,127.4,Subadult,Unknown,23-12-2025,Malaysia,Rivers,Data Deficient
West African Dwarf Crocodile,0.97,10.4,Adult,Male,06-02-2016,Ghana,Small Streams,Vulnerable
Borneo Crocodile (disputed),2.25,77.0,Juvenile,Unknown,22-02-2024,Malaysia,Rivers,Data Deficient
West African Crocodile,2.61,136.8,Adult,Female,29-06-2020,Senegal,Rivers,Least Concern
Cuban Crocodile,2.17,81.4,Subadult,Male,18-01-2013,Cuba,Swamps,Critically Endangered
Orinoco Crocodile,1.42,110.1,Juvenile,Female,04-04-2022,Venezuela,Flooded Savannas,Critically Endangered
West African Dwarf Crocodile,1.6,28.3,Adult,Male,18-05-2007,Ghana,Forest Swamps,Vulnerable
Saltwater Crocodile,5.79,904.4,Adult,Unknown,26-11-2014,Philippines,Coastal Wetlands,Least Concern
Cuban Crocodile,2.73,108.8,Subadult,Female,28-08-2012,Cuba,Freshwater Wetlands,Critically Endangered
Siamese Crocodile,2.66,115.8,Adult,Female,28-08-2022,Thailand,Slow Rivers,Critically Endangered
Borneo Crocodile (disputed),3.44,200.8,Adult,Unknown,31-01-2023,Indonesia,Rivers,Data Deficient
New Guinea Crocodile,2.72,96.3,Adult,Male,30-03-2025,Papua New Guinea,Rivers,Least Concern
Freshwater Crocodile (Johnstone's),1.96,57.1,Subadult,Unknown,10-09-2018,Australia,Gorges,Least Concern
West African Slender-snouted Crocodile,2.78,154.3,Subadult,Male,04-10-2024,Liberia,Shaded Forest Rivers,Critically Endangered
Congo Dwarf Crocodile,1.54,27.4,Adult,Male,11-07-2005,Dem. Rep. Congo,Slow Streams,Data Deficient
Freshwater Crocodile (Johnstone's),0.39,18.0,Hatchling,Female,03-11-2017,Australia,Billabongs,Least Concern
Mugger Crocodile (Marsh Crocodile),3.65,249.9,Adult,Unknown,31-03-2010,Nepal,Reservoirs,Vulnerable
Cuban Crocodile,3.1,156.3,Adult,Female,11-03-2015,Cuba,Freshwater Wetlands,Critically Endangered
Borneo Crocodile (disputed),2.52,100.7,Subadult,Female,15-11-2014,Malaysia,Estuarine Systems,Data Deficient
Cuban Crocodile,2.7,115.8,Adult,Unknown,08-10-2009,Cuba,Swamps,Critically Endangered
Orinoco Crocodile,4.24,444.1,Subadult,Female,18-08-2005,Venezuela,Large Rivers,Critically Endangered
Saltwater Crocodile,4.18,542.3,Subadult,Female,11-07-2022,Papua New Guinea,Coastal Wetlands,Least Concern
Cuban Crocodile,2.76,126.3,Subadult,Female,08-09-2013,Cuba,Swamps,Critically Endangered
Congo Dwarf Crocodile,0.33,5.5,Juvenile,Unknown,06-12-2011,Dem. Rep. Congo,Forest Swamps,Data Deficient
Congo Dwarf Crocodile,1.35,20.1,Adult,Male,07-10-2019,Dem. Rep. Congo,Forest Swamps,Data Deficient
Philippine Crocodile,0.41,17.5,Hatchling,Female,18-01-2009,Philippines,Freshwater Marshes,Critically Endangered
New Guinea Crocodile,2.03,68.5,Juvenile,Male,13-10-2018,Indonesia,Lakes,Least Concern
Saltwater Crocodile,5.4,765.7,Adult,Male,01-03-2006,India,Mangroves,Least Concern
Congo Dwarf Crocodile,1.4,24.2,Adult,Male,17-05-2013,Dem. Rep. Congo,Forest Swamps,Data Deficient
Borneo Crocodile (disputed),2.2,67.4,Adult,Female,30-05-2018,Malaysia,Estuarine Systems,Data Deficient
Philippine Crocodile,1.81,45.5,Subadult,Male,06-04-2021,Philippines,Rivers,Critically Endangered
West African Dwarf Crocodile,1.01,10.0,Juvenile,Female,13-06-2018,Liberia,Forest Swamps,Vulnerable
Nile Crocodile,4.35,507.6,Adult,Unknown,28-09-2006,Nigeria,Rivers,Least Concern
Morelet's Crocodile,0.32,34.1,Hatchling,Female,18-03-2005,Mexico,Lagoons,Least Concern
Siamese Crocodile,3.13,196.2,Adult,Male,04-04-2010,Vietnam,Swamps,Critically Endangered
Siamese Crocodile,0.91,36.9,Juvenile,Unknown,22-04-2020,Thailand,Slow Rivers,Critically Endangered
American Crocodile,3.62,210.4,Subadult,Unknown,15-03-2020,Venezuela,Mangroves,Vulnerable
West African Slender-snouted Crocodile,2.81,146.9,Subadult,Male,03-04-2020,Ghana,Swamps,Critically Endangered
Hall's New Guinea Crocodile,3.11,134.8,Adult,Male,17-07-2021,Papua New Guinea,Rivers,Least Concern
Mugger Crocodile (Marsh Crocodile),2.51,124.6,Subadult,Female,08-11-2023,Nepal,Rivers,Vulnerable
Central African Slender-snouted Crocodile,2.82,160.9,Adult,Unknown,24-11-2018,Gabon,Forest Rivers,Endangered
Morelet's Crocodile,2.58,87.1,Subadult,Unknown,03-04-2006,Guatemala,Swamps,Least Concern
West African Crocodile,2.74,150.1,Adult,Female,12-08-2013,Chad,Lakes,Least Concern
New Guinea Crocodile,0.72,33.8,Juvenile,Unknown,15-09-2022,Papua New Guinea,Rivers,Least Concern
West African Dwarf Crocodile,1.09,11.0,Adult,Male,12-11-2007,Liberia,Small Streams,Vulnerable
Hall's New Guinea Crocodile,0.49,32.2,Hatchling,Male,29-04-2010,Papua New Guinea,Rivers,Least Concern
Philippine Crocodile,2.05,71.9,Subadult,Unknown,12-07-2012,Philippines,Rivers,Critically Endangered
Orinoco Crocodile,3.9,428.9,Subadult,Unknown,07-06-2013,Venezuela,Flooded Savannas,Critically Endangered
Nile Crocodile,4.37,601.3,Adult,Male,01-09-2005,Uganda,Lakes,Least Concern
Orinoco Crocodile,1.25,102.9,Juvenile,Male,21-06-2005,Venezuela,Flooded Savannas,Critically Endangered
New Guinea Crocodile,2.39,98.6,Adult,Female,13-09-2024,Papua New Guinea,Lakes,Least Concern
Cuban Crocodile,0.46,36.7,Hatchling,Unknown,07-08-2011,Cuba,Swamps,Critically Endangered
Saltwater Crocodile,4.99,779.4,Subadult,Unknown,17-10-2018,Australia,Mangroves,Least Concern
West African Crocodile,2.32,102.4,Subadult,Unknown,06-02-2016,Chad,Lakes,Least Concern
Saltwater Crocodile,4.31,514.4,Subadult,Female,17-09-2010,Philippines,Estuaries,Least Concern
American Crocodile,2.97,168.8,Subadult,Female,30-07-2013,Mexico,Estuaries,Vulnerable
Mugger Crocodile (Marsh Crocodile),2.78,121.0,Subadult,Female,10-11-2005,Iran,Rivers,Vulnerable
Philippine Crocodile,1.16,25.5,Juvenile,Unknown,05-08-2021,Philippines,Freshwater Marshes,Critically Endangered
Freshwater Crocodile (Johnstone's),2.63,97.4,Adult,Female,03-09-2019,Australia,Billabongs,Least Concern
Mugger Crocodile (Marsh Crocodile),3.57,217.9,Subadult,Male,09-01-2012,Sri Lanka,Marshes,Vulnerable
Philippine Crocodile,2.08,66.9,Subadult,Unknown,18-09-2023,Philippines,Rivers,Critically Endangered
Borneo Crocodile (disputed),2.6,101.0,Adult,Unknown,13-08-2022,Indonesia,Rivers,Data Deficient
New Guinea Crocodile,1.24,38.1,Juvenile,Female,10-10-2017,Indonesia,Rivers,Least Concern
American Crocodile,0.37,78.9,Hatchling,Female,15-05-2011,Cuba,Estuaries,Vulnerable
West African Dwarf Crocodile,0.97,11.3,Subadult,Male,01-12-2007,Sierra Leone,Small Streams,Vulnerable
Central African Slender-snouted Crocodile,1.95,80.8,Subadult,Female,09-06-2006,Gabon,Forest Rivers,Endangered
New Guinea Crocodile,2.85,122.1,Subadult,Unknown,25-11-2023,Indonesia,Swamps,Least Concern
Borneo Crocodile (disputed),1.67,49.8,Juvenile,Male,18-05-2010,Indonesia,Estuarine Systems,Data Deficient
Freshwater Crocodile (Johnstone's),2.34,65.2,Subadult,Female,19-09-2006,Australia,Gorges,Least Concern
Borneo Crocodile (disputed),2.94,122.6,Adult,Unknown,12-05-2015,Malaysia,Estuarine Systems,Data Deficient
Philippine Crocodile,2.31,79.3,Adult,Female,08-05-2015,Philippines,Freshwater Marshes,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.61,210.9,Adult,Unknown,04-04-2007,Sri Lanka,Reservoirs,Vulnerable
Congo Dwarf Crocodile,1.42,25.3,Adult,Female,17-08-2020,Dem. Rep. Congo,Forest Swamps,Data Deficient
Freshwater Crocodile (Johnstone's),1.68,36.8,Juvenile,Male,17-06-2014,Australia,Freshwater Rivers,Least Concern
Philippine Crocodile,2.3,78.4,Adult,Unknown,24-08-2009,Philippines,Rivers,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.09,145.8,Subadult,Female,31-07-2019,Iran,Reservoirs,Vulnerable
American Crocodile,2.6,130.0,Subadult,Unknown,14-08-2020,Colombia,Estuaries,Vulnerable
Orinoco Crocodile,3.66,351.5,Subadult,Female,18-06-2016,Venezuela,Large Rivers,Critically Endangered
Nile Crocodile,4.69,738.4,Adult,Male,01-02-2008,Tanzania,Reservoirs,Least Concern
Philippine Crocodile,2.29,84.4,Adult,Unknown,05-09-2024,Philippines,Freshwater Marshes,Critically Endangered
New Guinea Crocodile,1.95,67.5,Subadult,Female,08-09-2012,Papua New Guinea,Lakes,Least Concern
Saltwater Crocodile,4.44,509.4,Subadult,Female,28-07-2006,India,Estuaries,Least Concern
Philippine Crocodile,1.62,38.9,Adult,Female,06-04-2021,Philippines,Rivers,Critically Endangered
Philippine Crocodile,2.0,60.9,Adult,Female,05-05-2024,Philippines,Freshwater Marshes,Critically Endangered
West African Crocodile,2.04,75.6,Juvenile,Female,03-08-2014,Mali,Lakes,Least Concern
Cuban Crocodile,2.82,117.4,Adult,Female,13-08-2006,Cuba,Freshwater Wetlands,Critically Endangered
Philippine Crocodile,2.23,87.7,Subadult,Unknown,15-05-2013,Philippines,Rivers,Critically Endangered
American Crocodile,3.71,275.8,Subadult,Unknown,27-11-2020,Colombia,Mangroves,Vulnerable
West African Crocodile,2.4,109.3,Subadult,Female,20-07-2010,Sudan,Oases,Least Concern
Nile Crocodile,3.39,381.1,Adult,Male,18-08-2016,Uganda,Reservoirs,Least Concern
Borneo Crocodile (disputed),2.83,125.6,Adult,Unknown,02-07-2024,Indonesia,Rivers,Data Deficient
Cuban Crocodile,1.35,44.0,Juvenile,Unknown,16-05-2014,Cuba,Swamps,Critically Endangered
Orinoco Crocodile,2.08,134.5,Juvenile,Male,29-04-2006,Venezuela,Large Rivers,Critically Endangered
Borneo Crocodile (disputed),0.91,29.3,Juvenile,Male,19-02-2018,Indonesia,Estuarine Systems,Data Deficient
Morelet's Crocodile,1.76,51.2,Adult,Female,27-11-2025,Belize,Rivers,Least Concern
Borneo Crocodile (disputed),2.68,118.3,Subadult,Female,01-08-2024,Malaysia,Rivers,Data Deficient
West African Slender-snouted Crocodile,1.33,55.6,Juvenile,Female,20-07-2016,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered
New Guinea Crocodile,2.56,95.7,Subadult,Unknown,23-10-2022,Papua New Guinea,Swamps,Least Concern
Central African Slender-snouted Crocodile,2.68,134.5,Adult,Unknown,18-09-2005,Cameroon,Swamps,Endangered
Freshwater Crocodile (Johnstone's),2.13,60.4,Adult,Male,30-09-2009,Australia,Gorges,Least Concern
Morelet's Crocodile,2.88,141.9,Adult,Male,17-02-2021,Belize,Lagoons,Least Concern
Morelet's Crocodile,2.16,73.6,Subadult,Unknown,14-06-2006,Guatemala,Rivers,Least Concern
West African Crocodile,1.18,40.5,Juvenile,Male,13-09-2021,Mali,Oases,Least Concern
Cuban Crocodile,3.38,203.8,Adult,Female,20-04-2022,Cuba,Freshwater Wetlands,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.42,223.3,Adult,Unknown,09-10-2005,Iran,Reservoirs,Vulnerable
West African Dwarf Crocodile,1.29,15.6,Adult,Female,04-06-2008,Cameroon,Forest Swamps,Vulnerable
Saltwater Crocodile,1.28,298.1,Juvenile,Female,16-03-2020,Papua New Guinea,Tidal Rivers,Least Concern
West African Crocodile,2.42,111.8,Adult,Male,09-12-2007,Niger,Oases,Least Concern
Freshwater Crocodile (Johnstone's),0.8,24.0,Juvenile,Unknown,10-08-2019,Australia,Billabongs,Least Concern
Cuban Crocodile,2.42,107.5,Subadult,Male,24-07-2016,Cuba,Swamps,Critically Endangered
West African Crocodile,1.74,63.9,Juvenile,Unknown,09-10-2019,Mali,Lakes,Least Concern
Siamese Crocodile,1.49,55.6,Juvenile,Female,21-02-2011,Cambodia,Oxbow Lakes,Critically Endangered
West African Crocodile,1.97,77.9,Juvenile,Male,03-02-2014,Senegal,Rivers,Least Concern
Congo Dwarf Crocodile,1.52,29.1,Adult,Unknown,14-10-2007,Dem. Rep. Congo,Forest Swamps,Data Deficient
Orinoco Crocodile,2.68,202.8,Adult,Male,13-08-2017,Colombia,Large Rivers,Critically Endangered
Morelet's Crocodile,0.26,34.1,Hatchling,Unknown,16-04-2025,Belize,Lagoons,Least Concern
West African Slender-snouted Crocodile,2.53,140.1,Adult,Unknown,16-09-2009,Nigeria,Shaded Forest Rivers,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.46,208.3,Subadult,Unknown,20-09-2010,Nepal,Marshes,Vulnerable
West African Crocodile,1.58,48.3,Juvenile,Unknown,18-08-2020,Senegal,Rivers,Least Concern
West African Dwarf Crocodile,0.23,4.4,Hatchling,Male,02-12-2016,Guinea,Small Streams,Vulnerable
New Guinea Crocodile,0.71,30.5,Juvenile,Male,29-06-2013,Papua New Guinea,Lakes,Least Concern
West African Dwarf Crocodile,1.24,15.1,Adult,Female,16-05-2017,Liberia,Forest Swamps,Vulnerable
Orinoco Crocodile,4.02,441.0,Adult,Unknown,04-05-2018,Colombia,Flooded Savannas,Critically Endangered
Siamese Crocodile,2.06,74.5,Adult,Male,07-08-2025,Laos,Oxbow Lakes,Critically Endangered
Borneo Crocodile (disputed),3.25,174.0,Adult,Male,06-11-2011,Indonesia,Estuarine Systems,Data Deficient
New Guinea Crocodile,3.38,161.3,Adult,Male,04-09-2021,Indonesia,Rivers,Least Concern
Nile Crocodile,4.29,647.7,Adult,Unknown,19-10-2007,South Africa,Rivers,Least Concern
Nile Crocodile,4.18,571.8,Adult,Unknown,05-05-2020,Nigeria,Rivers,Least Concern
Orinoco Crocodile,3.98,357.4,Adult,Unknown,04-12-2012,Venezuela,Flooded Savannas,Critically Endangered
West African Crocodile,2.56,130.6,Adult,Male,05-07-2011,Niger,Lakes,Least Concern
Siamese Crocodile,2.29,88.8,Adult,Unknown,25-07-2016,Cambodia,Swamps,Critically Endangered
Saltwater Crocodile,5.05,624.1,Adult,Male,07-01-2014,Indonesia,Estuaries,Least Concern
Borneo Crocodile (disputed),2.39,94.9,Subadult,Male,23-07-2015,Malaysia,Estuarine Systems,Data Deficient
Hall's New Guinea Crocodile,2.58,91.1,Subadult,Unknown,14-06-2009,Papua New Guinea,Freshwater Wetlands,Least Concern
Saltwater Crocodile,4.51,642.3,Adult,Unknown,18-12-2010,Australia,Coastal Wetlands,Least Concern
Congo Dwarf Crocodile,1.38,22.7,Subadult,Female,13-12-2007,Dem. Rep. Congo,Forest Swamps,Data Deficient
Cuban Crocodile,2.95,147.2,Subadult,Female,09-10-2015,Cuba,Swamps,Critically Endangered
American Crocodile,4.18,311.2,Adult,Female,21-09-2020,Cuba,Brackish Rivers,Vulnerable
Morelet's Crocodile,1.05,35.0,Juvenile,Unknown,31-07-2014,Guatemala,Swamps,Least Concern
Morelet's Crocodile,0.17,26.0,Hatchling,Unknown,19-03-2012,Mexico,Rivers,Least Concern
Siamese Crocodile,0.43,33.8,Hatchling,Female,01-02-2013,Laos,Oxbow Lakes,Critically Endangered
Hall's New Guinea Crocodile,2.53,80.7,Adult,Unknown,13-09-2007,Papua New Guinea,Freshwater Wetlands,Least Concern
West African Slender-snouted Crocodile,2.58,115.4,Adult,Male,14-11-2007,Sierra Leone,Swamps,Critically Endangered
Siamese Crocodile,2.59,107.9,Subadult,Female,09-07-2006,Vietnam,Swamps,Critically Endangered
West African Dwarf Crocodile,1.29,14.1,Adult,Male,12-08-2021,Côte d'Ivoire,Small Streams,Vulnerable
West African Dwarf Crocodile,0.43,5.0,Juvenile,Unknown,14-03-2005,Ghana,Small Streams,Vulnerable
West African Dwarf Crocodile,0.69,6.4,Juvenile,Unknown,28-04-2008,Liberia,Forest Swamps,Vulnerable
Saltwater Crocodile,4.76,638.5,Subadult,Male,28-10-2020,Philippines,Tidal Rivers,Least Concern
Borneo Crocodile (disputed),0.53,34.2,Hatchling,Unknown,22-05-2007,Malaysia,Estuarine Systems,Data Deficient
Philippine Crocodile,1.3,30.7,Juvenile,Female,07-02-2007,Philippines,Freshwater Marshes,Critically Endangered
Orinoco Crocodile,4.35,472.1,Adult,Female,01-06-2020,Venezuela,Large Rivers,Critically Endangered
American Crocodile,2.24,97.0,Juvenile,Male,23-06-2013,Colombia,Coastal Lagoons,Vulnerable
Nile Crocodile,2.46,198.5,Juvenile,Male,04-10-2022,Kenya,Marshes,Least Concern
Philippine Crocodile,1.68,45.9,Subadult,Female,28-01-2019,Philippines,Freshwater Marshes,Critically Endangered
Morelet's Crocodile,2.89,134.6,Subadult,Unknown,31-10-2024,Guatemala,Swamps,Least Concern
Orinoco Crocodile,0.34,98.1,Hatchling,Female,14-06-2018,Venezuela,Flooded Savannas,Critically Endangered
Freshwater Crocodile (Johnstone's),2.36,69.6,Adult,Male,11-09-2022,Australia,Freshwater Rivers,Least Concern
New Guinea Crocodile,1.3,42.3,Juvenile,Male,11-01-2007,Indonesia,Lakes,Least Concern
West African Crocodile,2.64,131.0,Adult,Male,29-12-2022,Senegal,Rivers,Least Concern
Borneo Crocodile (disputed),1.92,62.6,Juvenile,Unknown,14-03-2023,Indonesia,Rivers,Data Deficient
Hall's New Guinea Crocodile,2.47,99.3,Adult,Male,10-06-2025,Papua New Guinea,Rivers,Least Concern
Freshwater Crocodile (Johnstone's),0.81,24.1,Juvenile,Male,09-08-2020,Australia,Billabongs,Least Concern
Borneo Crocodile (disputed),2.67,125.1,Adult,Male,18-04-2008,Malaysia,Rivers,Data Deficient
Mugger Crocodile (Marsh Crocodile),2.9,158.9,Adult,Female,19-07-2015,Pakistan,Reservoirs,Vulnerable
Nile Crocodile,3.59,338.5,Adult,Unknown,24-08-2024,South Africa,Marshes,Least Concern
Freshwater Crocodile (Johnstone's),2.72,103.5,Adult,Male,01-09-2021,Australia,Billabongs,Least Concern
Mugger Crocodile (Marsh Crocodile),3.91,280.9,Adult,Female,22-07-2023,Pakistan,Rivers,Vulnerable
Hall's New Guinea Crocodile,3.49,192.0,Adult,Male,17-05-2010,Papua New Guinea,Freshwater Wetlands,Least Concern
Morelet's Crocodile,1.7,51.7,Adult,Male,23-05-2010,Belize,Swamps,Least Concern
Borneo Crocodile (disputed),3.79,259.1,Adult,Male,05-07-2011,Indonesia,Rivers,Data Deficient
American Crocodile,2.63,140.2,Juvenile,Unknown,27-08-2018,United States of America,Mangroves,Vulnerable
Cuban Crocodile,1.53,47.6,Juvenile,Male,19-09-2017,Cuba,Freshwater Wetlands,Critically Endangered
Cuban Crocodile,2.4,84.3,Subadult,Female,15-08-2008,Cuba,Swamps,Critically Endangered
Hall's New Guinea Crocodile,3.09,146.1,Subadult,Male,13-10-2007,Papua New Guinea,Freshwater Wetlands,Least Concern
Freshwater Crocodile (Johnstone's),2.26,68.5,Subadult,Female,05-09-2024,Australia,Gorges,Least Concern
Mugger Crocodile (Marsh Crocodile),4.03,292.8,Adult,Male,02-01-2010,Pakistan,Marshes,Vulnerable
Hall's New Guinea Crocodile,3.41,198.2,Adult,Female,23-06-2009,Papua New Guinea,Rivers,Least Concern
New Guinea Crocodile,2.5,106.7,Subadult,Male,12-05-2019,Papua New Guinea,Swamps,Least Concern
West African Crocodile,0.73,34.8,Juvenile,Female,20-01-2011,Niger,Oases,Least Concern
American Crocodile,2.76,167.6,Subadult,Male,18-08-2023,Mexico,Coastal Lagoons,Vulnerable
New Guinea Crocodile,2.48,100.5,Adult,Female,15-12-2012,Indonesia,Lakes,Least Concern
Philippine Crocodile,1.52,44.6,Adult,Unknown,06-07-2023,Philippines,Freshwater Marshes,Critically Endangered
West African Slender-snouted Crocodile,2.44,121.4,Adult,Male,25-03-2019,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered
Philippine Crocodile,0.7,20.0,Juvenile,Unknown,09-12-2017,Philippines,Rivers,Critically Endangered
Nile Crocodile,4.39,578.9,Subadult,Female,18-07-2007,Uganda,Reservoirs,Least Concern
Hall's New Guinea Crocodile,2.49,97.9,Adult,Female,23-03-2019,Papua New Guinea,Freshwater Wetlands,Least Concern
Morelet's Crocodile,2.76,115.5,Adult,Unknown,03-07-2011,Belize,Swamps,Least Concern
West African Slender-snouted Crocodile,2.43,107.8,Adult,Female,06-04-2014,Nigeria,Swamps,Critically Endangered
Hall's New Guinea Crocodile,3.42,167.1,Adult,Female,07-02-2020,Papua New Guinea,Freshwater Wetlands,Least Concern
Saltwater Crocodile,4.21,527.9,Adult,Female,05-06-2010,Philippines,Coastal Wetlands,Least Concern
West African Crocodile,3.01,179.1,Adult,Male,16-01-2014,Niger,Oases,Least Concern
Borneo Crocodile (disputed),3.11,180.2,Subadult,Unknown,26-07-2008,Malaysia,Rivers,Data Deficient
American Crocodile,4.33,418.1,Adult,Female,09-03-2009,Cuba,Estuaries,Vulnerable
Philippine Crocodile,1.78,53.9,Adult,Female,11-11-2006,Philippines,Ponds,Critically Endangered
Morelet's Crocodile,0.65,34.5,Juvenile,Male,07-10-2013,Mexico,Rivers,Least Concern
Borneo Crocodile (disputed),3.29,200.2,Subadult,Male,14-09-2011,Indonesia,Rivers,Data Deficient
Morelet's Crocodile,2.43,95.5,Adult,Male,06-08-2018,Mexico,Lagoons,Least Concern
West African Dwarf Crocodile,1.45,19.0,Adult,Male,02-01-2011,Liberia,Small Streams,Vulnerable
American Crocodile,3.57,238.3,Adult,Female,08-09-2025,Cuba,Mangroves,Vulnerable
Philippine Crocodile,2.32,86.5,Adult,Female,19-09-2008,Philippines,Ponds,Critically Endangered
Borneo Crocodile (disputed),3.17,164.0,Adult,Female,20-02-2025,Indonesia,Estuarine Systems,Data Deficient
Saltwater Crocodile,3.8,535.1,Subadult,Female,28-09-2022,India,Tidal Rivers,Least Concern
American Crocodile,3.64,211.9,Adult,Unknown,18-05-2012,Cuba,Brackish Rivers,Vulnerable
Mugger Crocodile (Marsh Crocodile),3.3,214.5,Subadult,Unknown,05-09-2006,Iran,Marshes,Vulnerable
New Guinea Crocodile,2.56,101.3,Subadult,Male,05-12-2017,Papua New Guinea,Swamps,Least Concern
Nile Crocodile,2.86,296.2,Juvenile,Female,12-02-2012,Sudan,Marshes,Least Concern
American Crocodile,3.62,280.0,Subadult,Male,29-11-2023,Costa Rica,Coastal Lagoons,Vulnerable
Mugger Crocodile (Marsh Crocodile),2.5,109.2,Juvenile,Unknown,10-02-2005,India,Reservoirs,Vulnerable
Morelet's Crocodile,2.66,120.3,Subadult,Unknown,03-05-2015,Mexico,Swamps,Least Concern
Cuban Crocodile,2.96,139.6,Adult,Unknown,29-12-2015,Cuba,Swamps,Critically Endangered
Mugger Crocodile (Marsh Crocodile),1.99,91.7,Juvenile,Unknown,02-10-2006,India,Marshes,Vulnerable
Philippine Crocodile,1.61,43.5,Adult,Female,21-01-2022,Philippines,Ponds,Critically Endangered
Cuban Crocodile,1.22,41.4,Juvenile,Female,07-09-2008,Cuba,Freshwater Wetlands,Critically Endangered
West African Slender-snouted Crocodile,0.53,40.3,Hatchling,Female,28-08-2007,Ghana,Shaded Forest Rivers,Critically Endangered
Borneo Crocodile (disputed),2.26,78.7,Subadult,Female,08-05-2009,Malaysia,Rivers,Data Deficient
Orinoco Crocodile,3.9,413.2,Adult,Male,04-12-2009,Venezuela,Large Rivers,Critically Endangered
Siamese Crocodile,2.34,90.2,Subadult,Unknown,07-01-2011,Vietnam,Slow Rivers,Critically Endangered
Philippine Crocodile,1.8,44.7,Adult,Unknown,15-12-2018,Philippines,Ponds,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.26,184.9,Adult,Unknown,24-08-2015,Pakistan,Reservoirs,Vulnerable
Orinoco Crocodile,0.8,102.1,Hatchling,Male,15-05-2023,Venezuela,Flooded Savannas,Critically Endangered
West African Dwarf Crocodile,1.31,17.0,Adult,Female,04-03-2013,Côte d'Ivoire,Forest Swamps,Vulnerable
Freshwater Crocodile (Johnstone's),2.18,71.2,Adult,Male,21-01-2011,Australia,Freshwater Rivers,Least Concern
Mugger Crocodile (Marsh Crocodile),3.49,233.2,Adult,Female,18-08-2009,India,Rivers,Vulnerable
Morelet's Crocodile,2.64,117.3,Subadult,Female,20-03-2018,Belize,Rivers,Least Concern
Philippine Crocodile,2.27,87.5,Subadult,Female,22-06-2007,Philippines,Rivers,Critically Endangered
West African Slender-snouted Crocodile,1.99,75.9,Subadult,Female,02-12-2005,Sierra Leone,Swamps,Critically Endangered
Saltwater Crocodile,3.58,498.9,Juvenile,Unknown,04-12-2019,Philippines,Mangroves,Least Concern
Siamese Crocodile,0.6,29.0,Hatchling,Unknown,16-04-2019,Vietnam,Swamps,Critically Endangered
Morelet's Crocodile,2.96,132.0,Adult,Unknown,15-02-2008,Guatemala,Swamps,Least Concern
Cuban Crocodile,2.12,83.9,Subadult,Female,26-02-2007,Cuba,Swamps,Critically Endangered
West African Dwarf Crocodile,1.32,14.6,Adult,Female,26-12-2006,Sierra Leone,Small Streams,Vulnerable
West African Dwarf Crocodile,1.04,9.5,Adult,Male,14-01-2014,Cameroon,Forest Swamps,Vulnerable
West African Dwarf Crocodile,0.98,9.4,Subadult,Female,28-06-2020,Liberia,Forest Swamps,Vulnerable
West African Dwarf Crocodile,1.06,10.4,Adult,Male,01-10-2011,Cameroon,Small Streams,Vulnerable
Central African Slender-snouted Crocodile,3.0,190.5,Adult,Male,01-08-2009,Cameroon,Swamps,Endangered
West African Dwarf Crocodile,1.49,25.2,Adult,Unknown,03-11-2010,Ghana,Small Streams,Vulnerable
